Product Name,Lock Period,Call Center Price,Rate,Investor Pricing,Srp
10000.15.001,15,N/A,2.75,N/A,N/A
10000.15.001,15,N/A,2.875,N/A,N/A
10000.15.001,15,N/A,2.99,N/A,1.752770913
10000.15.001,15,N/A,3.125,N/A,2.138851605
10000.15.001,15,95.375,3.25,100.1620738,0.500190855
10000.15.001,15,95.620,3.375,100.7077429,1.050860001
10000.15.001,15,96.121,3.5,101.2507135,1.581830624
10000.15.001,15,96.741,3.625,101.7716304,2.110747524
10000.15.001,15,97.75,3.75,102.023496,0.487151874
10000.15.001,15,98.119,3.875,102.5573414,1.015997289
10000.15.001,15,98.506,3.99,103.0686528,1.539308689
10000.15.001,15,99.507,4.125,103.5653941,2.020049981
10000.15.001,15,99.619,4.25,103.0237892,0.4586976
10000.15.001,15,99.741,4.375,103.5224418,0.950350162
10000.15.001,15,100.244,4.5,103.9226659,1.377574323
10000.15.001,15,100.371,4.625,104.3872339,1.826142339
10000.15.001,30,N/A,2.75,N/A,N/A
10000.15.001,30,N/A,2.875,N/A,N/A
10000.15.001,30,N/A,2.99,N/A,1.749770913
10000.15.001,30,N/A,3.125,N/A,2.142851605
10000.15.001,30,95.259,3.25,100.0390738,0.491190855
10000.15.001,30,95.5,3.375,100.5917429,1.037860001
10000.15.001,30,96.01,3.5,101.1277135,1.586830624
10000.15.001,30,96.635,3.625,101.6436304,2.103747524
10000.15.001,30,97.616,3.75,101.905496,0.487151874
10000.15.001,30,97.998,3.875,102.4333414,1.021997289
10000.15.001,30,98.372,3.99,102.9506528,1.521308689
10000.15.001,30,99.381,4.125,103.4433941,2.022049981
10000.15.001,30,99.509,4.25,102.8937892,0.4706976
10000.15.001,30,99.615,4.375,103.3944418,0.954350162
10000.15.001,30,100.133,4.5,103.7946659,1.368574323
10000.15.001,30,100.257,4.625,104.2592339,1.837142339
10000.15.001,35,N/A,2.75,N/A,N/A
10000.15.001,35,N/A,2.875,N/A,N/A
10000.15.001,35,N/A,2.99,N/A,1.734770913
10000.15.001,35,N/A,3.125,N/A,2.135851605
10000.15.001,35,95.215,3.25,99.98207376,0.483190855
10000.15.001,35,95.454,3.375,100.5497429,1.038860001
10000.15.001,35,95.963,3.5,101.0797135,1.589830624
10000.15.001,35,96.581,3.625,101.6126304,2.108747524
10000.15.001,35,97.587,3.75,101.865496,0.494151874
10000.15.001,35,97.967,3.875,102.3933414,1.010997289
10000.15.001,35,98.330,3.99,102.8966528,1.531308689
10000.15.001,35,99.332,4.125,103.3973941,2.037049981
10000.15.001,35,99.452,4.25,102.8527892,0.4546976
10000.15.001,35,99.573,4.375,103.3544418,0.955350162
10000.15.001,35,100.080,4.5,103.7626659,1.366574323
10000.15.001,35,100.201,4.625,104.2252339,1.823142339
10000.15.001,40,N/A,2.75,N/A,N/A
10000.15.001,40,N/A,2.875,N/A,N/A
10000.15.001,40,N/A,2.99,N/A,1.748770913
10000.15.001,40,N/A,3.125,N/A,2.142851605
10000.15.001,40,95.172,3.25,99.94107376,0.491190855
10000.15.001,40,95.413,3.375,100.4997429,1.041860001
10000.15.001,40,95.910,3.5,101.0287135,1.580830624
10000.15.001,40,96.551,3.625,101.5606304,2.109747524
10000.15.001,40,97.534,3.75,101.810496,0.485151874
10000.15.001,40,97.922,3.875,102.3553414,1.014997289
10000.15.001,40,98.298,3.99,102.8536528,1.522308689
10000.15.001,40,99.289,4.125,103.3513941,2.032049981
10000.15.001,40,99.422,4.25,102.8127892,0.4536976
10000.15.001,40,99.532,4.375,103.2994418,0.960350162
10000.15.001,40,100.032,4.5,103.7216659,1.363574323
10000.15.001,40,100.175,4.625,104.1732339,1.821142339
10000.15.001,45,N/A,2.75,N/A,N/A
10000.15.001,45,N/A,2.875,N/A,N/A
10000.15.001,45,N/A,2.99,N/A,1.749770913
10000.15.001,45,N/A,3.125,N/A,2.131851605
10000.15.001,45,95.133,3.25,99.91407376,0.496190855
10000.15.001,45,95.366,3.375,100.4477429,1.034860001
10000.15.001,45,95.879,3.5,100.9897135,1.571830624
10000.15.001,45,96.491,3.625,101.5166304,2.109747524
10000.15.001,45,97.496,3.75,101.772496,0.482151874
10000.15.001,45,97.875,3.875,102.3093414,1.015997289
10000.15.001,45,98.24,3.99,102.8256528,1.531308689
10000.15.001,45,99.259,4.125,103.3133941,2.020049981
10000.15.001,45,99.365,4.25,102.7577892,0.4706976
10000.15.001,45,99.501,4.375,103.2624418,0.954350162
10000.15.001,45,100,4.5,103.6836659,1.368574323
10000.15.001,45,100.116,4.625,104.1392339,1.830142339
10000.15.001,60,N/A,2.75,N/A,N/A
10000.15.001,60,N/A,2.875,N/A,N/A
10000.15.001,60,N/A,2.99,N/A,1.752770913
10000.15.001,60,N/A,3.125,N/A,2.136851605
10000.15.001,60,94.99,3.25,99.77607376,0.482190855
10000.15.001,60,95.26,3.375,100.3327429,1.044860001
10000.15.001,60,95.74,3.5,100.8767135,1.582830624
10000.15.001,60,96.368,3.625,101.4006304,2.106747524
10000.15.001,60,97.379,3.75,101.644496,0.495151874
10000.15.001,60,97.74,3.875,102.1903414,1.020997289
10000.15.001,60,98.135,3.99,102.6956528,1.532308689
10000.15.001,60,99.116,4.125,103.1823941,2.023049981
10000.15.001,60,99.243,4.25,102.6507892,0.4706976
10000.15.001,60,99.367,4.375,103.1464418,0.960350162
10000.15.001,60,99.878,4.5,103.5586659,1.369574323
10000.15.001,60,100,4.625,104.0012339,1.832142339
10000.15.001,75,N/A,2.75,N/A,N/A
10000.15.001,75,N/A,2.875,N/A,N/A
10000.15.001,75,N/A,2.99,N/A,1.735770913
10000.15.001,75,N/A,3.125,N/A,2.147851605
10000.15.001,75,94.883,3.25,99.64507376,0.487190855
10000.15.001,75,95.122,3.375,100.2027429,1.040860001
10000.15.001,75,95.632,3.5,100.7387135,1.573830624
10000.15.001,75,96.253,3.625,101.2816304,2.118747524
10000.15.001,75,97.248,3.75,101.516496,0.475151874
10000.15.001,75,97.626,3.875,102.0513414,1.024997289
10000.15.001,75,98.01,3.99,102.5626528,1.537308689
10000.15.001,75,99.007,4.125,103.0693941,2.033049981
10000.15.001,75,99.133,4.25,102.5087892,0.4536976
10000.15.001,75,99.251,4.375,103.0194418,0.968350162
10000.15.001,75,99.753,4.5,103.4296659,1.377574323
10000.15.001,75,99.866,4.625,103.8752339,1.833142339
10000.15.002,15,N/A,2.25,N/A,N/A
10000.15.002,15,N/A,2.375,N/A,N/A
10000.15.002,15,N/A,2.5,N/A,N/A
10000.15.002,15,N/A,2.625,N/A,N/A
10000.15.002,15,N/A,2.75,N/A,N/A
10000.15.002,15,N/A,2.875,N/A,N/A
10000.15.002,15,N/A,2.99,N/A,0.215000034
10000.15.002,15,N/A,3.125,N/A,0.297849957
10000.15.002,15,94.621,3.25,98.95817612,-0.713706786
10000.15.002,15,95.115,3.375,99.20182999,-0.477052917
10000.15.002,15,95.51,3.5,99.40540407,-0.254478832
10000.15.002,15,95.997,3.625,99.62233248,-0.045550425
10000.15.002,15,96.494,3.75,100.6925248,-0.837819275
10000.15.002,15,97.008,3.875,100.904338,-0.636006075
10000.15.002,15,97.247,3.99,101.1061843,-0.435159844
10000.15.002,15,97.869,4.125,101.277059,-0.263285121
10000.15.002,30,N/A,2.25,N/A,N/A
10000.15.002,30,N/A,2.375,N/A,N/A
10000.15.002,30,N/A,2.5,N/A,N/A
10000.15.002,30,N/A,2.625,N/A,N/A
10000.15.002,30,N/A,2.75,N/A,N/A
10000.15.002,30,N/A,2.875,N/A,N/A
10000.15.002,30,N/A,2.99,N/A,0.213000034
10000.15.002,30,N/A,3.125,N/A,0.298849957
10000.15.002,30,94.51,3.25,98.82317612,-0.716706786
10000.15.002,30,94.997,3.375,99.05882999,-0.474052917
10000.15.002,30,95.383,3.5,99.27740407,-0.251478832
10000.15.002,30,95.872,3.625,99.50533248,-0.037550425
10000.15.002,30,96.382,3.75,100.5715248,-0.834819275
10000.15.002,30,96.880,3.875,100.791338,-0.622006075
10000.15.002,30,97.134,3.99,100.9751843,-0.430159844
10000.15.002,30,97.749,4.125,101.147059,-0.268285121
10000.15.002,35,N/A,2.25,N/A,N/A
10000.15.002,35,N/A,2.375,N/A,N/A
10000.15.002,35,N/A,2.5,N/A,N/A
10000.15.002,35,N/A,2.625,N/A,N/A
10000.15.002,35,N/A,2.75,N/A,N/A
10000.15.002,35,N/A,2.875,N/A,N/A
10000.15.002,35,N/A,2.99,N/A,0.221000034
10000.15.002,35,N/A,3.125,N/A,0.293849957
10000.15.002,35,94.453,3.25,98.77917612,-0.702706786
10000.15.002,35,94.949,3.375,99.01982999,-0.462052917
10000.15.002,35,95.333,3.5,99.25040407,-0.255478832
10000.15.002,35,95.839,3.625,99.44433248,-0.053550425
10000.15.002,35,96.328,3.75,100.5255248,-0.839819275
10000.15.002,35,96.826,3.875,100.749338,-0.631006075
